Sweep Target,Sweep Value,Year,Cumulative Cash
Cert Multiplier,1.9,10,58663780.21148038
Cert Multiplier,2.0,0,-19500000.0
Cert Multiplier,2.0,1,-17346238.670694858
Cert Multiplier,2.0,2,-15192477.341389716
Cert Multiplier,2.0,3,-13038716.012084574
Cert Multiplier,2.0,4,-3043716.0120845735
Cert Multiplier,2.0,5,6951283.9879154265
Cert Multiplier,2.0,6,16946283.987915426
Cert Multiplier,2.0,7,26941283.987915426
Cert Multiplier,2.0,8,36936283.98791543
Cert Multiplier,2.0,9,46931283.98791543
Cert Multiplier,2.0,10,56926283.98791543
Revenue Multiplier,0.5,0,-11625000.0
Revenue Multiplier,0.5,1,-12554584.59214501
Revenue Multiplier,0.5,2,-13484169.184290022
Revenue Multiplier,0.5,3,-14413753.776435032
Revenue Multiplier,0.5,4,-10668753.776435032
Revenue Multiplier,0.5,5,-6923753.7764350325
Revenue Multiplier,0.5,6,-3178753.7764350325
Revenue Multiplier,0.5,7,566246.2235649675
Revenue Multiplier,0.5,8,4311246.2235649675
Revenue Multiplier,0.5,9,8056246.2235649675
Revenue Multiplier,0.5,10,11801246.223564968
Revenue Multiplier,0.6,0,-11625000.0
Revenue Multiplier,0.6,1,-11304584.59214501
Revenue Multiplier,0.6,2,-10984169.184290022
Revenue Multiplier,0.6,3,-10663753.776435032
Revenue Multiplier,0.6,4,-5668753.7764350325
Revenue Multiplier,0.6,5,-673753.7764350325
Revenue Multiplier,0.6,6,4321246.2235649675
Revenue Multiplier,0.6,7,9316246.223564968
Revenue Multiplier,0.6,8,14311246.223564968
Revenue Multiplier,0.6,9,19306246.223564968
Revenue Multiplier,0.6,10,24301246.223564968
Revenue Multiplier,0.7,0,-11625000.0
Revenue Multiplier,0.7,1,-10054584.59214501
Revenue Multiplier,0.7,2,-8484169.184290022
Revenue Multiplier,0.7,3,-6913753.776435033
Revenue Multiplier,0.7,4,-668753.7764350334
Revenue Multiplier,0.7,5,5576246.223564967
Revenue Multiplier,0.7,6,11821246.223564968
Revenue Multiplier,0.7,7,18066246.223564968
Revenue Multiplier,0.7,8,24311246.223564968
Revenue Multiplier,0.7,9,30556246.223564968
Revenue Multiplier,0.7,10,36801246.22356497
Revenue Multiplier,0.8,0,-11625000.0
Revenue Multiplier,0.8,1,-8804584.59214501
Revenue Multiplier,0.8,2,-5984169.184290023
Revenue Multiplier,0.8,3,-3163753.7764350343
Revenue Multiplier,0.8,4,4331246.223564966
Revenue Multiplier,0.8,5,11826246.223564966
Revenue Multiplier,0.8,6,19321246.223564968
Revenue Multiplier,0.8,7,26816246.223564968
